sample_id,frame,year,title,author,label,raw_label,confidence,narrating_situation,agent_note,why,n_quotes,event_past,event_present,beat_past,beat_present,bucket_event,bucket_dialogue,bucket_gnomic,bucket_paratext,bucket_unclear
top2002:3606,hist,2002,PREY,Michael Crichton,PAST,PAST,high,retrospective,,"92% past / 8% present of 13, situation=retrospective",22,12,1,0,0,13,0,9,0,0
top2002:3738,hist,2002,RED RABBIT,Tom Clancy,PAST,PAST,high,retrospective,Eight event-narration excerpts are past tense; the remaining non-dialogue excerpts are chiefly generalized aphorisms.,"100% past / 0% present of 10, situation=retrospective",23,8,0,2,0,8,3,12,0,0
top2002:3789,hist,2002,REVERSIBLE ERRORS,Scott Turow,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,4,2,0,1,0,2,2,0,0,0
top2002:4599,hist,2002,THE BEACH HOUSE,James Patterson and Peter de Jonge,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,4,1,1,0,0,2,0,2,0,0
top2002:4837,hist,2002,THE CHRISTMAS TRAIN,David Baldacci,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",24,6,0,1,0,6,15,1,0,2
top2002:4992,hist,2002,THE DIVE FROM CLAUSEN'S PIER,Ann Packer,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,4,2,0,1,0,2,2,0,0,0
top2002:5048,hist,2002,THE EMPEROR OF OCEAN PARK,Stephen L. Carter,ABSTAIN,INSUFFICIENT,,simultaneous,,only 4 tense-bearing quotes,7,0,3,0,1,3,1,3,0,0
top2002:5722,hist,2002,THE LOVELY BONES,Alice Sebold,PAST,PAST,high,retrospective,Classification is based solely on supplied quote text. Event narration is predominantly retrospective; q00952 also includes the narrator's present-state description.,"100% past / 0% present of 16, situation=retrospective",26,14,0,2,0,14,4,7,0,1
top2002:5797,hist,2002,THE MILLIONAIRES,Brad Meltzer,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,2,0,0,0,0,0,1,1,0,0
top2002:5854,hist,2002,THE NANNY DIARIES,Emma McLaughlin and Nicola Kraus,ABSTAIN,INSUFFICIENT,,simultaneous,,only 3 tense-bearing quotes,5,0,3,0,0,3,2,0,0,0
top2002:6281,hist,2002,THE SHELTERS OF STONE,Jean M. Auel,ABSTAIN,UNCLEAR,,unclear,,situation='unclear',12,4,2,0,0,6,3,3,0,0
top2002:6436,hist,2002,THE SUMMONS,John Grisham,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,4,1,0,2,0,1,2,0,0,1
top2002:7083,hist,2002,UP COUNTRY,Nelson DeMille,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,10,3,0,0,0,3,4,3,0,0
top2003:509,hist,2003,ARMAGEDDON,Tim LaHaye and Jerry B. Jenkins,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,0,0,1,0,0,1,0,0,0
top2003:730,hist,2003,BLEACHERS,John Grisham,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,7,3,1,0,0,4,3,0,0,0
top2003:767,hist,2003,BLOW FLY,Patricia Cornwell,PRESENT,PRESENT,high,simultaneous,,"33% past / 67% present of 12, situation=simultaneous",24,3,7,1,1,10,3,10,1,0
top2003:1206,hist,2003,CROSSROADS OF TWILIGHT,Robert Jordan,PAST,PAST,high,retrospective,,"100% past / 0% present of 26, situation=retrospective",37,22,0,4,0,22,7,5,1,2
top2003:4054,hist,2003,SHEPHERDS ABIDING,Jan Karon,PAST,PAST,med,retrospective,Event narration is consistently retrospective.,"100% past / 0% present of 6, situation=retrospective",13,4,0,2,0,4,6,3,0,0
top2003:4623,hist,2003,THE BIG BAD WOLF,James Patterson,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,2,2,0,0,0,2,0,0,0,0
top2003:4918,hist,2003,THE DA VINCI CODE,Dan Brown,PAST,PAST,med,retrospective,Four event-narration excerpts are all past tense; the remaining present-tense aphorisms are non-diagnostic.,"100% past / 0% present of 5, situation=retrospective",23,4,0,1,0,4,9,8,0,2
top2003:4969,hist,2003,THE DEVIL WEARS PRADA,Lauren Weisberger,PAST,PAST,high,retrospective,,"94% past / 6% present of 18, situation=retrospective",23,17,1,0,0,18,5,0,0,0
top2003:5159,hist,2003,THE FIVE PEOPLE YOU MEET IN HEAVEN,Mitch Albom,ABSTAIN,INSUFFICIENT,,unclear,"Only one event-narration excerpt is available (past); the remaining excerpts are principally gnomic, with two dialogue excerpts carrying past narration beats. This is insufficient to infer a narrating situation.",only 3 tense-bearing quotes,21,1,0,2,0,1,2,18,0,0
top2003:5341,hist,2003,THE GUARDIAN,Nicholas Sparks,PAST,PAST,high,retrospective,,"100% past / 0% present of 24, situation=retrospective",32,21,0,3,0,21,6,4,0,1
top2003:5543,hist,2003,THE KING OF TORTS,John Grisham,PAST,PAST,med,retrospective,Five event-narration excerpts are past tense; no dialogue beats were identifiable.,"100% past / 0% present of 5, situation=retrospective",7,5,0,0,0,5,0,1,0,1
top2003:5567,hist,2003,THE LAKE HOUSE,James Patterson,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,5,2,0,0,0,2,1,2,0,0
top2003:6472,hist,2003,THE TEETH OF THE TIGER,Tom Clancy,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",13,4,0,1,0,4,6,2,0,1
top2003:6664,hist,2003,THE WEDDING,Nicholas Sparks,PAST,PAST,CONFLICT,retrospective,,"62% past / 38% present of 24, situation=retrospective",38,13,9,2,0,22,8,8,0,0
top2003:6898,hist,2003,TO THE NINES,Janet Evanovich,PAST,PAST,high,retrospective,,"100% past / 0% present of 18, situation=retrospective",25,5,0,13,0,5,18,2,0,0
top2004:211,hist,2004,A SALTY PIECE OF LAND,Jimmy Buffett,ABSTAIN,INSUFFICIENT,,unclear,,only 3 tense-bearing quotes,10,2,1,0,0,3,2,5,0,0
top2004:462,hist,2004,ANGELS & DEMONS,Dan Brown,ABSTAIN,INSUFFICIENT,,unclear,"Only one event-narration excerpt is available, so the narrating situation cannot be determined from these quotes.",only 2 tense-bearing quotes,23,1,0,1,0,1,4,17,0,1
top2004:664,hist,2004,BERGDORF BLONDES,Plum Sykes,ABSTAIN,INSUFFICIENT,,unclear,"Only one event-narration quote, in the present tense; the remaining excerpts are gnomic or dialogue. The supplied text does not establish a narrating situation.",only 2 tense-bearing quotes,6,0,1,1,0,1,1,4,0,0
top2004:1998,hist,2004,GLORIOUS APPEARING,Tim LaHaye and Jerry B. Jenkins,ABSTAIN,INSUFFICIENT,,retrospective,Two event-narration excerpts are past-tense; the remaining marked scripture excerpts are dialogue with no narrating beat.,only 2 tense-bearing quotes,6,2,0,0,0,2,4,0,0,0
top2004:2311,hist,2004,I AM CHARLOTTE SIMMONS,Tom Wolfe,PAST,PAST,high,retrospective,,"100% past / 0% present of 8, situation=retrospective",11,7,0,1,0,7,4,0,0,0
top2004:2502,hist,2004,JONATHAN STRANGE & MR. NORRELL,Susanna Clarke,PAST,PAST,high,retrospective,,"96% past / 4% present of 74, situation=retrospective",110,56,3,15,0,59,37,9,1,4
top2004:2747,hist,2004,LONDON BRIDGES,James Patterson,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,0,1,0
top2004:3210,hist,2004,NIGHT FALL,Nelson DeMille,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",13,6,0,1,0,6,4,3,0,0
top2004:3908,hist,2004,SAM'S LETTERS TO JENNIFER,James Patterson,PAST,PAST,med,retrospective,,"86% past / 14% present of 7, situation=retrospective",16,5,1,1,0,6,1,9,0,0
top2004:4133,hist,2004,SKINNY DIP,Carl Hiaasen,PAST,PAST,high,retrospective,,"100% past / 0% present of 29, situation=retrospective",36,25,0,4,0,25,11,0,0,0
top2004:4310,hist,2004,STATE OF FEAR,Michael Crichton,PAST,PAST,high,retrospective,,"83% past / 17% present of 24, situation=retrospective",70,14,4,6,0,18,21,20,1,10
top2004:4540,hist,2004,THE AMATEUR MARRIAGE,Anne Tyler,PAST,PAST,high,retrospective,,"100% past / 0% present of 9, situation=retrospective",9,8,0,1,0,8,1,0,0,0
top2004:5499,hist,2004,THE JANE AUSTEN BOOK CLUB,Karen Joy Fowler,PAST,PAST,high,retrospective,,"100% past / 0% present of 20, situation=retrospective",28,17,0,3,0,17,5,6,0,0
top2004:5593,hist,2004,THE LAST JUROR,John Grisham,PAST,PAST,high,retrospective,,"100% past / 0% present of 9, situation=retrospective",12,9,0,0,0,9,1,2,0,0
top2004:6024,hist,2004,THE PLOT AGAINST AMERICA,Philip Roth,PAST,PAST,high,retrospective,Event narration is predominantly retrospective; two story-specific present-tense reflective/current-state excerpts are retained as event evidence.,"98% past / 2% present of 47, situation=retrospective",70,36,0,10,1,36,28,1,0,5
top2004:6172,hist,2004,THE RULE OF FOUR,Ian Caldwell and Dustin Thomason,OTHER,DUAL,high,dual,Story-specific excerpts show both retrospective recounting and a simultaneous present-time frame; most remaining excerpts are gnomic.,"78% past / 22% present of 9, situation=dual",20,7,2,0,0,9,1,10,0,0
top2005:39,hist,2005,4TH OF JULY,James Patterson and Maxine Paetro,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,2,2,0,0,0,2,0,0,0,0
top2005:535,hist,2005,AT FIRST SIGHT,Nicholas Sparks,PAST,PAST,med,retrospective,"Six story-specific event-narration excerpts are past tense; the remaining excerpts are primarily gnomic, with three supported dialogue excerpts and no narrating beats.","100% past / 0% present of 6, situation=retrospective",16,6,0,0,0,6,3,7,0,0
top2005:1045,hist,2005,CHRIST THE LORD: OUT OF EGYPT,Anne Rice,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,5,2,0,1,0,2,1,0,1,1
top2005:2241,hist,2005,HONEYMOON,James Patterson and Howard Roughan,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top2005:2603,hist,2005,KNIFE OF DREAMS,Robert Jordan,PAST,PAST,high,retrospective,,"94% past / 6% present of 31, situation=retrospective",52,25,2,4,0,27,16,6,1,2
top2005:2703,hist,2005,LIGHT FROM HEAVEN,Jan Karon,PAST,PAST,high,retrospective,,"90% past / 10% present of 10, situation=retrospective",20,4,1,5,0,5,8,6,1,0
top2005:2917,hist,2005,"MARY, MARY",James Patterson,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,4,1,0,0,0,1,3,0,0,0
top2005:3593,hist,2005,PREDATOR,Patricia Cornwell,PRESENT,PRESENT,med,simultaneous,,"0% past / 100% present of 6, situation=simultaneous",17,0,5,0,1,5,7,4,0,1
top2005:3596,hist,2005,PREP,Curtis Sittenfeld,PAST,PAST,high,retrospective,,"95% past / 5% present of 77, situation=retrospective",85,72,4,1,0,76,5,3,0,1
top2005:3787,hist,2005,REVENGE OF THE SITH,Matthew Stover,ABSTAIN,UNCLEAR,,unclear,"Event narration includes both past and present passages, but these excerpts do not establish a diary, frame, or other structural explanation.",situation='unclear',44,16,11,5,0,27,10,5,0,2
top2005:4206,hist,2005,SON OF A WITCH,Gregory Maguire,PAST,PAST,high,retrospective,,"73% past / 27% present of 11, situation=retrospective",25,6,3,2,0,9,4,11,0,1
top2005:4729,hist,2005,THE BROKER,John Grisham,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,4,4,0,0,0,4,0,0,0,0
top2005:4751,hist,2005,THE CAMEL CLUB,David Baldacci,PAST,PAST,high,retrospective,"Past-tense event narration dominates. Present event passages are story-specific current statements/reflection, not a distinct simultaneous or dual narrating frame.","80% past / 20% present of 15, situation=retrospective",17,9,3,3,0,12,3,2,0,0
top2005:5395,hist,2005,THE HISTORIAN,Elizabeth Kostova,PAST,PAST,high,retrospective,"Classified solely from supplied excerpts. Event evidence: 14 past, 6 present; dialogue beats: 0 past, 0 present, 3 none.","70% past / 30% present of 20, situation=retrospective",27,14,6,0,0,20,3,4,0,0
top2005:5789,hist,2005,THE MERMAID CHAIR,Sue Monk Kidd,PAST,PAST,high,retrospective,Classified solely from supplied quote text.,"85% past / 15% present of 27, situation=retrospective",39,21,4,2,0,25,5,9,0,0
top2005:6982,hist,2005,TRUE BELIEVER,Nicholas Sparks,PAST,PAST,high,retrospective,Event narration is predominantly past; the sole present event excerpt is clipped and does not establish a simultaneous strand.,"95% past / 5% present of 21, situation=retrospective",37,17,1,3,0,18,9,10,0,0
top2005:7423,hist,2005,“S” IS FOR SILENCE,Sue Grafton,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,2,2,0,0,0,2,0,0,0,0
top2006:610,hist,2006,BEACH ROAD,James Patterson and Peter de Jonge,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top2006:913,hist,2006,CAN'T WAIT TO GET TO HEAVEN,Fannie Flagg,PAST,PAST,high,retrospective,,"100% past / 0% present of 9, situation=retrospective",19,8,0,1,0,8,2,5,4,0
top2006:978,hist,2006,CELL,Stephen King,PAST,PAST,high,retrospective,,"86% past / 14% present of 14, situation=retrospective",18,7,2,5,0,9,6,2,1,0
top2006:1196,hist,2006,CROSS,James Patterson,ABSTAIN,INSUFFICIENT,,simultaneous,Two present-tense event-narration excerpts support a simultaneous narrating situation; remaining excerpts are gnomic or dialogue.,only 2 tense-bearing quotes,6,0,2,0,0,2,3,1,0,0
top2006:1357,hist,2006,DEAR JOHN,Nicholas Sparks,PAST,PAST,high,retrospective,,"73% past / 27% present of 48, situation=retrospective",81,32,13,3,0,45,23,12,0,1
top2006:1882,hist,2006,FOR ONE MORE DAY,Mitch Albom,PAST,PAST,med,retrospective,Six event-narration excerpts: five past and one present. The present event is reflective; the event evidence supports a retrospective narrating situation.,"83% past / 17% present of 6, situation=retrospective",25,5,1,0,0,6,1,18,0,0
top2006:2096,hist,2006,HANNIBAL RISING,Thomas Harris,PAST,PAST,high,retrospective,"Event narration is predominantly retrospective past tense, with three present-tense story-specific descriptive/reflection passages.","79% past / 21% present of 14, situation=retrospective",22,10,3,1,0,13,5,1,3,0
top2006:2519,hist,2006,JUDGE & JURY,James Patterson and Andrew Gross,ABSTAIN,INSUFFICIENT,,unclear,Both supplied excerpts are too fragmentary to yield reliable narrative-tense evidence.,only 0 tense-bearing quotes,2,0,0,0,0,0,0,0,0,2
top2006:3202,hist,2006,NEXT,Michael Crichton,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",15,4,0,1,0,4,5,6,0,0
top2006:4505,hist,2006,THE 5TH HORSEMAN,James Patterson and Maxine Paetro,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,5,3,0,0,0,3,1,1,0,0
top2006:4670,hist,2006,THE BOLEYN INHERITANCE,Philippa Gregory,PRESENT,PRESENT,high,simultaneous,Present-tense story-specific narration predominates; the past event excerpts are recollective.,"21% past / 79% present of 14, situation=simultaneous",25,3,11,0,0,14,1,9,0,1
top2006:5450,hist,2006,THE HUSBAND,Dean Koontz,ABSTAIN,UNCLEAR,,unclear,,situation='unclear',13,1,2,2,0,3,3,5,1,1
top2006:5615,hist,2006,THE LAST TEMPLAR,Raymond Khoury,ABSTAIN,INSUFFICIENT,,retrospective,Event narration is consistently past-tense; present-tense non-dialogue excerpts are gnomic.,only 3 tense-bearing quotes,12,3,0,0,0,3,5,3,0,1
top2006:6800,hist,2006,THIRTEEN MOONS,Charles Frazier,PAST,PAST,high,retrospective,,"90% past / 10% present of 10, situation=retrospective",23,9,1,0,0,10,0,12,1,0
top2006:7008,hist,2006,TWELVE SHARP,Janet Evanovich,PAST,PAST,high,retrospective,,"91% past / 9% present of 22, situation=retrospective",26,7,2,13,0,9,14,3,0,0
top2006:7028,hist,2006,TWO LITTLE GIRLS IN BLUE,Mary Higgins Clark,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,0,0,1
top2006:7186,hist,2006,WATER FOR ELEPHANTS,Sara Gruen,PRESENT,PRESENT,high,simultaneous,,"11% past / 89% present of 9, situation=simultaneous",25,1,7,0,1,8,7,10,0,0
top2006:7290,hist,2006,WILD FIRE,Nelson DeMille,ABSTAIN,UNCLEAR,,unclear,,situation='unclear',12,2,3,2,0,5,2,3,1,1
top2007:257,hist,2007,A THOUSAND SPLENDID SUNS,Khaled Hosseini,PAST,PAST,high,retrospective,,"73% past / 27% present of 11, situation=retrospective",25,8,3,0,0,11,6,6,0,2
top2007:805,hist,2007,BOOK OF THE DEAD,Patricia Cornwell,PRESENT,PRESENT,med,simultaneous,,"17% past / 83% present of 6, situation=simultaneous",15,1,3,0,2,4,6,5,0,0
top2007:1506,hist,2007,DOUBLE CROSS,James Patterson,ABSTAIN,INSUFFICIENT,,unclear,"Only three event-narration excerpts are available (2 past, 1 present); the mixed evidence does not establish a narrating situation.",only 3 tense-bearing quotes,7,2,1,0,0,3,2,0,1,1
top2007:3247,hist,2007,NINETEEN MINUTES,Jodi Picoult,PAST,PAST,high,retrospective,,"93% past / 7% present of 58, situation=retrospective",104,48,4,6,0,52,17,31,0,4
top2007:3537,hist,2007,PLAYING FOR PIZZA,John Grisham,PAST,PAST,med,retrospective,,"80% past / 20% present of 5, situation=retrospective",5,4,1,0,0,5,0,0,0,0
top2007:3544,hist,2007,PLUM LOVIN’,Janet Evanovich,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",7,2,0,3,0,2,3,1,1,0
top2007:4316,hist,2007,STEP ON A CRACK,James Patterson and Michael Ledwidge,PAST,PAST,high,retrospective,,"80% past / 20% present of 10, situation=retrospective",15,5,2,3,0,7,6,2,0,0
top2007:4327,hist,2007,STONE COLD,David Baldacci,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,7,2,0,1,0,2,3,0,1,1
top2007:4507,hist,2007,THE 6TH TARGET,James Patterson and Maxine Paetro,PAST,PAST,high,retrospective,,"100% past / 0% present of 9, situation=retrospective",10,6,0,3,0,6,4,0,0,0
top2007:4699,hist,2007,THE BOURNE BETRAYAL,Eric Van Lustbader,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,2,0,0,1,0,0,1,1,0,0
top2007:4821,hist,2007,THE CHILDREN OF HÚRIN,J. R. R. Tolkien,PAST,PAST,high,retrospective,,"88% past / 12% present of 16, situation=retrospective",42,10,1,4,1,11,11,10,3,7
top2007:4825,hist,2007,THE CHOICE,Nicholas Sparks,PAST,PAST,high,retrospective,Event narration is consistently past-tense; present-tense generalizations were bucketed as gnomic.,"100% past / 0% present of 14, situation=retrospective",26,13,0,1,0,13,7,5,0,1
top2007:6087,hist,2007,THE QUICKIE,James Patterson and Michael Ledwidge,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,1,1,0,0,0,1,0,0,0,0
top2007:7365,hist,2007,WORLD WITHOUT END,Ken Follett,PAST,PAST,high,retrospective,Classified solely from the supplied excerpts.,"93% past / 7% present of 27, situation=retrospective",43,17,2,8,0,19,14,8,0,2
top2008:164,hist,2008,A MERCY,Toni Morrison,PAST,PAST,high,retrospective,,"74% past / 26% present of 23, situation=retrospective",37,17,6,0,0,23,7,6,0,1
top2008:1017,hist,2008,CHASING HARRY WINSTON,Lauren Weisberger,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",9,5,0,0,0,5,1,3,0,0
top2008:1198,hist,2008,CROSS COUNTRY,James Patterson,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,2,0,0,0,0,0,0,2,0,0
top2008:2818,hist,2008,LOVE THE ONE YOU’RE WITH,Emily Giffin,PRESENT,PRESENT,high,simultaneous,,"23% past / 77% present of 13, situation=simultaneous",26,3,10,0,0,13,1,11,0,1
top2008:3947,hist,2008,SCARPETTA,Patricia Cornwell,PAST,PAST,med,retrospective,,"100% past / 0% present of 6, situation=retrospective",12,5,0,1,0,5,5,2,0,0
top2008:4560,hist,2008,THE APPEAL,John Grisham,PAST,PAST,med,retrospective,,"100% past / 0% present of 7, situation=retrospective",10,6,0,1,0,6,1,3,0,0
top2008:4835,hist,2008,THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,PAST,PAST,med,retrospective,,"83% past / 17% present of 6, situation=retrospective",17,2,1,3,0,3,9,5,0,0
top2008:5343,hist,2008,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,ABSTAIN,UNCLEAR,,unclear,,situation='unclear',26,4,6,0,0,10,12,4,0,0
top2008:5415,hist,2008,THE HOST,Stephenie Meyer,PAST,PAST,high,retrospective,,"88% past / 12% present of 8, situation=retrospective",23,4,1,3,0,5,15,3,0,0
top2008:5420,hist,2008,THE HOUR I FIRST BELIEVED,Wally Lamb,PAST,PAST,high,retrospective,,"91% past / 9% present of 11, situation=retrospective",28,8,1,2,0,9,6,13,0,0
top2008:5727,hist,2008,THE LUCKY ONE,Nicholas Sparks,PAST,PAST,high,retrospective,,"97% past / 3% present of 38, situation=retrospective",67,31,1,6,0,32,27,7,0,1
top2008:6406,hist,2008,THE STORY OF EDGAR SAWTELLE,David Wroblewski,PAST,PAST,high,retrospective,,"100% past / 0% present of 27, situation=retrospective",36,21,0,6,0,21,9,4,1,1
top2009:1323,hist,2009,DEAD AND GONE,Charlaine Harris,PAST,PAST,high,retrospective,,"100% past / 0% present of 42, situation=retrospective",48,31,0,11,0,31,15,1,1,0
top2009:1835,hist,2009,FIRST FAMILY,David Baldacci,PAST,PAST,high,retrospective,,"100% past / 0% present of 10, situation=retrospective",19,10,0,0,0,10,4,5,0,0
top2009:1890,hist,2009,FORD COUNTY,John Grisham,ABSTAIN,INSUFFICIENT,,retrospective,,only 1 tense-bearing quotes,2,1,0,0,0,1,0,1,0,0
top2009:2091,hist,2009,HANDLE WITH CARE,Jodi Picoult,PAST,PAST,high,retrospective,,"86% past / 14% present of 50, situation=retrospective",97,41,7,2,0,48,8,41,0,0
top2009:2340,hist,2009,"I, ALEX CROSS",James Patterson,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,5,2,0,1,0,2,3,0,0,0
top2009:3665,hist,2009,PURSUIT OF HONOR,Vince Flynn,ABSTAIN,INSUFFICIENT,,unclear,,only 1 tense-bearing quotes,6,0,0,1,0,0,2,3,0,1
top2009:3884,hist,2009,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,PAST,PAST,high,retrospective,,"91% past / 9% present of 11, situation=retrospective",19,7,1,3,0,8,6,2,2,1
top2009:4045,hist,2009,SHANGHAI GIRLS,Lisa See,PRESENT,PRESENT,high,simultaneous,,"12% past / 88% present of 26, situation=simultaneous",45,3,21,0,2,24,4,17,0,0
top2009:4223,hist,2009,SOUTH OF BROAD,Pat Conroy,PAST,PAST,CONFLICT,retrospective,Present-tense event passages are reflective or descriptive within predominantly retrospective narration.,"60% past / 40% present of 25, situation=retrospective",39,15,10,0,0,25,4,8,1,1
top2009:4576,hist,2009,THE ASSOCIATE,John Grisham,ABSTAIN,INSUFFICIENT,,retrospective,,only 2 tense-bearing quotes,3,2,0,0,0,2,1,0,0,0
top2009:5257,hist,2009,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,PAST,PAST,high,retrospective,Classified solely from supplied quote text.,"100% past / 0% present of 16, situation=retrospective",25,15,0,1,0,15,4,4,0,2
top2009:5381,hist,2009,THE HELP,Kathryn Stockett,PRESENT,PRESENT,high,simultaneous,Manual review 2026-08-13: the three principal narrative voices use present-tense base narration; past material is recollection and backstory.,"32% past / 68% present of 31, situation=simultaneous",54,10,19,0,2,29,15,10,0,0
top2009:5611,hist,2009,THE LAST SONG,Nicholas Sparks,PAST,PAST,high,retrospective,,"95% past / 5% present of 60, situation=retrospective",94,42,3,15,0,45,35,11,3,0
top2009:5709,hist,2009,THE LOST SYMBOL,Dan Brown,ABSTAIN,INSUFFICIENT,,retrospective,,only 3 tense-bearing quotes,23,3,0,0,0,3,3,17,0,0
top2009:6983,hist,2009,TRUE BLUE,David Baldacci,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",11,4,0,1,0,4,3,2,0,2
top2009:7053,hist,2009,UNDER THE DOME,Stephen King,ABSTAIN,INSUFFICIENT,,unclear,,only 0 tense-bearing quotes,1,0,0,0,0,0,0,1,0,0
top2010:1199,hist,2010,CROSS FIRE,James Patterson,ABSTAIN,INSUFFICIENT,,retrospective,,only 4 tense-bearing quotes,6,3,0,1,0,3,1,1,0,1
top2010:1330,hist,2010,DEAD IN THE FAMILY,Charlaine Harris,PAST,PAST,high,retrospective,,"88% past / 12% present of 16, situation=retrospective",21,6,1,8,1,7,12,2,0,0
top2010:1335,hist,2010,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,PAST,PAST,med,retrospective,,"100% past / 0% present of 5, situation=retrospective",11,4,0,1,0,4,3,4,0,0
top2010:1728,hist,2010,FALL OF GIANTS,Ken Follett,PAST,PAST,high,retrospective,,"80% past / 20% present of 15, situation=retrospective",24,10,2,2,1,12,5,6,0,1
top2010:1923,hist,2010,FREEDOM,Jonathan Franzen,PAST,PAST,high,retrospective,,"94% past / 6% present of 16, situation=retrospective",27,13,1,2,0,14,4,8,0,1
top2010:2158,hist,2010,HELL'S CORNER,David Baldacci,PAST,PAST,high,retrospective,,"75% past / 25% present of 8, situation=retrospective",12,4,2,2,0,6,3,3,0,0
top2010:2284,hist,2010,HOUSE RULES,Jodi Picoult,PRESENT,PRESENT,high,simultaneous,,"18% past / 82% present of 62, situation=simultaneous",94,10,47,1,4,57,10,24,0,3
top2010:3859,hist,2010,ROOM,Emma Donoghue,PRESENT,PRESENT,high,simultaneous,,"5% past / 95% present of 19, situation=simultaneous",26,1,17,0,1,18,2,6,0,0
top2010:3901,hist,2010,SAFE HAVEN,Nicholas Sparks,PAST,PAST,high,retrospective,,"80% past / 20% present of 25, situation=retrospective",49,16,5,4,0,21,21,7,0,0
top2010:4272,hist,2010,SQUIRREL SEEKS CHIPMUNK,David Sedaris,PAST,PAST,high,retrospective,,"86% past / 14% present of 14, situation=retrospective",21,10,2,2,0,12,8,1,0,0
top2010:4878,hist,2010,THE CONFESSION,John Grisham,ABSTAIN,INSUFFICIENT,,retrospective,Four event-narration quotes: three past and one present. Below the five-event minimum; narrating situation is inferred from the available event passages.,only 4 tense-bearing quotes,13,3,1,0,0,4,4,3,0,2
top2010:5254,hist,2010,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,PAST,PAST,high,retrospective,,"100% past / 0% present of 25, situation=retrospective",50,23,0,2,0,23,21,6,0,0
top2011:15,hist,2011,11/22/63,Stephen King,ABSTAIN,UNCLEAR,,unclear,"Classified solely from supplied quote text. Event evidence is evenly split (2 past, 2 present), with no supplied-text basis to identify a narrating structure.",situation='unclear',24,2,2,1,0,4,12,8,0,0
top2011:26,hist,2011,1Q84,Haruki Murakami,PAST,PAST,high,retrospective,,"78% past / 22% present of 27, situation=retrospective",83,13,6,8,0,19,49,15,0,0
top2011:81,hist,2011,A DANCE WITH DRAGONS,George R. R. Martin,PAST,PAST,high,retrospective,,"85% past / 15% present of 34, situation=retrospective",79,15,5,14,0,20,41,16,0,2
top2011:1336,hist,2011,DEAD RECKONING,Charlaine Harris,PAST,PAST,high,retrospective,,"95% past / 5% present of 21, situation=retrospective",27,16,1,4,0,17,8,2,0,0
